otel,dd,description
admission_admitted_sql_root_start,cockroachdb.admission.admitted.sql.root.start.count,Number of requests admitted
admission_admitted_sql_root_start_locking_normal_pri,cockroachdb.admission.admitted.sql_root_start.locking_normal_pri.count,Number of requests admitted
admission_admitted_sql_root_start_normal_pri,cockroachdb.admission.admitted.sql_root_start.normal_pri.count,Number of requests admitted
admission_admitted_sql_sql_response,cockroachdb.admission.admitted.sql_sql.response.count,Number of requests admitted
admission_admitted_sql_sql_response_locking_normal_pri,cockroachdb.admission.admitted.sql_sql_response.locking_normal_pri.count,Number of requests admitted
admission_admitted_sql_sql_response_normal_pri,cockroachdb.admission.admitted.sql_sql_response.normal_pri.count,Number of requests admitted
admission_elastic_cpu_acquired_nanos,cockroachdb.admission.elastic_cpu.acquired_nanos.count,Total CPU nanoseconds acquired by elastic work
admission_elastic_cpu_available_nanos,cockroachdb.admission.elastic_cpu.available_nanos,Instantaneous available CPU nanoseconds per second ignoring utilization limit
admission_elastic_cpu_max_available_nanos,cockroachdb.admission.elastic_cpu.max_available_nanos.count,Maximum available CPU nanoseconds per second ignoring utilization limit
admission_elastic_cpu_nanos_exhausted_duration,cockroachdb.admission.elastic_cpu.nanos_exhausted_duration,"Total duration when elastic CPU nanoseconds were exhausted, in micros"
admission_elastic_cpu_over_limit_durations,cockroachdb.admission.elastic_cpu.over_limit_durations.count,Measurement of how much over the prescribed limit elastic requests ran (not recorded if requests don't run over)
admission_elastic_cpu_pre_work_nanos,cockroachdb.admission.elastic_cpu.pre_work_nanos.count,"Total CPU nanoseconds spent doing pre-work, before doing elastic work"
admission_elastic_cpu_returned_nanos,cockroachdb.admission.elastic_cpu.returned_nanos.count,Total CPU nanoseconds returned by elastic work
admission_elastic_cpu_utilization,cockroachdb.admission.elastic_cpu.utilization,CPU utilization by elastic work
admission_elastic_cpu_utilization_limit,cockroachdb.admission.elastic_cpu.utilization_limit,Utilization limit set for the elastic CPU work
admission_errored_elastic_cpu,cockroachdb.admission.errored.elastic_cpu.count,Number of requests not admitted due to error
admission_errored_elastic_cpu_bulk_normal_pri,cockroachdb.admission.errored.elastic_cpu.bulk_normal_pri.count,Number of requests not admitted due to error
admission_errored_elastic_cpu_normal_pri,cockroachdb.admission.errored.elastic_cpu.normal_pri.count,Number of requests not admitted due to error
admission_errored_kv,cockroachdb.admission.errored.kv.countt,Number of requests not admitted due to error
admission_errored_kv_high_pri,cockroachdb.admission.errored.kv.high_pri.count,Number of requests not admitted due to error
admission_errored_kv_locking_normal_pri,cockroachdb.admission.errored.kv.locking_normal_pri.count,Number of requests not admitted due to error
admission_errored_kv_normal_pri,cockroachdb.admission.errored.kv.normal_pri.count,Number of requests not admitted due to error
admission_errored_kv_stores,cockroachdb.admission.errored.kv_stores.countt,Number of requests not admitted due to error
admission_errored_kv_stores_high_pri,cockroachdb.admission.errored.kv_stores.high_pri.count,Number of requests not admitted due to error
admission_errored_kv_stores_locking_normal_pri,cockroachdb.admission.errored.kv_stores.locking_normal_pri.count,Number of requests not admitted due to error
admission_errored_kv_stores_normal_pri,cockroachdb.admission.errored.kv_stores.normal_pri.count,Number of requests not admitted due to error
admission_errored_sql_kv_response,cockroachdb.admission.errored.sql_kv.response.count,Number of requests not admitted due to error
admission_errored_sql_kv_response_locking_normal_pri,cockroachdb.admission.errored.sql_kv_response.locking_normal_pri.count,Number of requests not admitted due to error
admission_errored_sql_kv_response_normal_pri,cockroachdb.admission.errored.sql_kv_response.normal_pri.count,Number of requests not admitted due to error
admission_errored_sql_leaf_start,cockroachdb.admission.errored.sql.leaf.start.count,Number of requests not admitted due to error
admission_errored_sql_leaf_start,cockroachdb.admission.errored.sql_leaf_start.count,Number of requests not admitted due to error
admission_errored_sql_leaf_start_locking_normal_pri,cockroachdb.admission.errored.sql_leaf_start.locking_normal_pri.count,Number of requests not admitted due to error
admission_errored_sql_leaf_start_normal_pri,cockroachdb.admission.errored.sql_leaf_start.normal_pri.count,Number of requests not admitted due to error
admission_errored_sql_root_start,cockroachdb.admission.errored.sql_root_start.count,Number of requests not admitted due to error
admission_errored_sql_root_start,cockroachdb.admission.errored.sql.root.start.count,Number of requests not admitted due to error
admission_errored_sql_root_start_locking_normal_pri,cockroachdb.admission.errored.sql_root_start.locking_normal_pri.count,Number of requests not admitted due to error
admission_errored_sql_root_start_normal_pri,cockroachdb.admission.errored.sql_root_start.normal_pri.count,Number of requests not admitted due to error
admission_errored_sql_sql_response,cockroachdb.admission.errored.sql_sql.response.count,Number of requests not admitted due to error
admission_errored_sql_sql_response_locking_normal_pri,cockroachdb.admission.errored.sql_sql_response.locking_normal_pri.count,Number of requests not admitted due to error
admission_errored_sql_sql_response_normal_pri,cockroachdb.admission.errored.sql_sql_response.normal_pri.count,Number of requests not admitted due to error
admission_granter_cpu_load_long_period_duration_kv,cockroachdb.admission.granter.cpu_load_long_period_duration.kv.count,"Total duration when CPULoad was being called with a long period, in micros"
admission_granter_cpu_load_short_period_duration_kv,cockroachdb.admission.granter.cpu_load_short_period_duration.kv.count,"Total duration when CPULoad was being called with a short period, in micros"
admission_granter_elastic_io_tokens_available_kv,cockroachdb.admission.granter.elastic_io_tokens_available.kv,Number of tokens available
admission_granter_io_tokens_available_kv,cockroachdb.admission.granter.io_tokens_available.kv,Number of tokens available
admission_granter_io_tokens_bypassed_kv,cockroachdb.admission.granter.io_tokens_bypassed.kv.count,"Total number of tokens taken by work bypassing admission control (for example, follower writes without flow control)"
admission_granter_io_tokens_exhausted_duration_kv,cockroachdb.admission.granter.io_tokens_exhausted_duration.kv.count,"Total duration when IO tokens were exhausted, in micros"
admission_granter_io_tokens_exhausted_duration_kv,cockroachdb.admission.granter.io.tokens.exhausted.duration.kv.count,"Total duration when IO tokens were exhausted, in micros"
admission_granter_io_tokens_returned_kv,cockroachdb.admission.granter.io_tokens_returned.kv.count,Total number of tokens returned
admission_granter_io_tokens_taken_kv,cockroachdb.admission.granter.io_tokens_taken.kv.count,Total number of tokens taken
admission_granter_slot_adjuster_decrements_kv,cockroachdb.admission.granter.slot_adjuster_decrements.kv.count,Number of decrements of the total KV slots
admission_granter_slot_adjuster_increments_kv,cockroachdb.admission.granter.slot_adjuster_increments.kv.count,Number of increments of the total KV slots
admission_granter_slots_exhausted_duration_kv,cockroachdb.admission.granter.slots_exhausted_duration.kv.count,"Total duration when KV slots were exhausted, in micros"
admission_granter_total_slots_kv,cockroachdb.admission.granter.total.slots.kv,Total slots for kv work
admission_granter_total_slots_kv,cockroachdb.admission.granter.total_slots.kv,Total slots for kv work
admission_granter_used_slots_kv,cockroachdb.admission.granter.used_slots.kv,Used slots
admission_granter_used_slots_kv,cockroachdb.admission.granter.used.slots.kv,Used slots
admission_granter_used_slots_sql_leaf_start,cockroachdb.admission.granter.used.slots.sql.leaf.start,Used slots
admission_granter_used_slots_sql_leaf_start,cockroachdb.admission.granter.used_slots.sql_leaf_start,Used slots
admission_granter_used_slots_sql_root_start,cockroachdb.admission.granter.used_slots.sql_root_start,Used slots
admission_granter_used_slots_sql_root_start,cockroachdb.admission.granter.used.slots.sql.root.start,Used slots
admission_io_overload,cockroachdb.admission.io.overload,1-normalized float indicating whether IO admission control considers the store as overloaded with respect to compaction out of L0 (considers sub-level and file counts).
admission_l0_compacted_bytes_kv,cockroachdb.admission.l0_compacted_bytes.kv.count,Total bytes compacted out of L0 (used to generate IO tokens)
admission_l0_tokens_produced_kv,cockroachdb.admission.l0_tokens_produced.kv.count,Total bytes produced for L0 writes
admission_raft_paused_replicas,cockroachdb.admission.raft.paused_replicas,"Number of followers (i.e. Replicas) to which replication is currently paused to help them recover from I/O overload. Such Replicas will be ignored for the purposes of proposal quota, and will not receive replication traffic. They are essentially treated as offline for the purpose of replication. This serves as a crude form of admission control. The count is emitted by the leaseholder of each range."
admission_raft_paused_replicas_dropped_msgs,cockroachdb.admission.raft.paused_replicas_dropped_msgs.count,Number of messages dropped instead of being sent to paused replicas. The messages are dropped to help these replicas to recover from I/O overload.
admission_requested_elastic_cpu,cockroachdb.admission.requested.elastic_cpu.count,Number of requests
admission_requested_elastic_cpu_bulk_normal_pri,cockroachdb.admission.requested.elastic_cpu.bulk_normal_pri.count,Number of requests
admission_requested_elastic_cpu_normal_pri,cockroachdb.admission.requested.elastic_cpu.normal_pri.count,Number of requests
admission_requested_kv,cockroachdb.admission.requested.kv.count,Number of requests
admission_requested_kv_high_pri,cockroachdb.admission.requested.kv.high_pri.count,Number of requests
admission_requested_kv_locking_normal_pri,cockroachdb.admission.requested.kv.locking_normal_pri.count,Number of requests
admission_requested_kv_normal_pri,cockroachdb.admission.requested.kv.normal_pri.count,Number of requests
admission_requested_kv_stores,cockroachdb.admission.requested.kv_stores.count,Number of requests
admission_requested_kv_stores_high_pri,cockroachdb.admission.requested.kv_stores.high_pri.count,Number of requests
admission_requested_kv_stores_locking_normal_pri,cockroachdb.admission.requested.kv_stores.locking_normal_pri.count,Number of requests
admission_requested_kv_stores_normal_pri,cockroachdb.admission.requested.kv_stores.normal_pri.count,Number of requests
admission_requested_sql_kv_response,cockroachdb.admission.requested.sql_kv.response.count,Number of requests
admission_requested_sql_kv_response_locking_normal_pri,cockroachdb.admission.requested.sql_kv_response.locking_normal_pri.count,Number of requests
admission_requested_sql_kv_response_normal_pri,cockroachdb.admission.requested.sql_kv_response.normal_pri.count,Number of requests
admission_requested_sql_leaf_start,cockroachdb.admission.requested.sql.leaf.start.count,Number of requests
admission_requested_sql_leaf_start_locking_normal_pri,cockroachdb.admission.requested.sql_leaf_start.locking_normal_pri.count,Number of requests
admission_requested_sql_leaf_start_normal_pri,cockroachdb.admission.requested.sql_leaf_start.normal_pri.count,Number of requests
admission_requested_sql_root_start,cockroachdb.admission.requested.sql_root_start.count,Number of requests
admission_requested_sql_root_start_locking_normal_pri,cockroachdb.admission.requested.sql_root_start.locking_normal_pri.count,Number of requests
admission_requested_sql_root_start_normal_pri,cockroachdb.admission.requested.sql_root_start.normal_pri.count,Number of requests
admission_requested_sql_sql_response,cockroachdb.admission.requested.sql_sql.response.count,Number of requests
admission_requested_sql_sql_response_locking_normal_pri,cockroachdb.admission.requested.sql_sql_response.locking_normal_pri.count,Number of requests
admission_requested_sql_sql_response_normal_pri,cockroachdb.admission.requested.sql_sql_response.normal_pri.count,Number of requests
admission_scheduler_latency_listener_p99_nanos,cockroachdb.admission.scheduler_latency_listener.p99_nanos,The scheduling latency at p99 as observed by the scheduler latency listener
admission_wait_durations_elastic_cpu,cockroachdb.admission.wait_durations.elastic_cpu.count,Wait time durations for requests that waited
admission_wait_durations_elastic_cpu_bulk_normal_pri,cockroachdb.admission.wait_durations.elastic_cpu.bulk_normal_pri.count,Wait time durations for requests that waited
admission_wait_durations_elastic_cpu_normal_pri,cockroachdb.admission.wait_durations.elastic_cpu.normal_pri.count,Wait time durations for requests that waited
admission_wait_durations_kv,cockroachdb.admission.wait.durations.kv.count,Wait time durations for requests that waited
admission_wait_durations_kv,cockroachdb.admission.wait_durations.kv.count,Wait time durations for requests that waited
admission_wait_durations_kv_high_pri,cockroachdb.admission.wait_durations.kv.high_pri.count,Wait time durations for requests that waited
admission_wait_durations_kv_locking_normal_pri,cockroachdb.admission.wait_durations.kv.locking_normal_pri.count,Wait time durations for requests that waited
admission_wait_durations_kv_normal_pri,cockroachdb.admission.wait_durations.kv.normal_pri.count,Wait time durations for requests that waited
admission_wait_durations_kv_stores,cockroachdb.admission.wait_durations.kv_stores.count,Wait time durations for requests that waited
admission_wait_durations_kv_stores,cockroachdb.admission.wait.durations.kv_stores.count,Wait time durations for requests that waited
admission_wait_durations_kv_stores_high_pri,cockroachdb.admission.wait_durations.kv_stores.high_pri.count,Wait time durations for requests that waited
admission_wait_durations_kv_stores_locking_normal_pri,cockroachdb.admission.wait_durations.kv_stores.locking_normal_pri.count,Wait time durations for requests that waited
admission_wait_durations_kv_stores_normal_pri,cockroachdb.admission.wait_durations.kv_stores.normal_pri.count,Wait time durations for requests that waited
admission_wait_durations_sql_kv_response,cockroachdb.admission.wait.durations.sql_kv.response.count,Wait time durations for requests that waited
admission_wait_durations_sql_kv_response,cockroachdb.admission.wait_durations.sql_kv_response.count,Wait time durations for requests that waited
admission_wait_durations_sql_kv_response_locking_normal_pri,cockroachdb.admission.wait_durations.sql_kv_response.locking_normal_pri.count,Wait time durations for requests that waited
admission_wait_durations_sql_kv_response_normal_pri,cockroachdb.admission.wait_durations.sql_kv_response.normal_pri.count,Wait time durations for requests that waited
admission_wait_durations_sql_leaf_start,cockroachdb.admission.wait_durations.sql_leaf_start.count,Wait time durations for requests that waited
admission_wait_durations_sql_leaf_start,cockroachdb.admission.wait.durations.sql.leaf.start.count,Wait time durations for requests that waited
admission_wait_durations_sql_leaf_start_locking_normal_pri,cockroachdb.admission.wait_durations.sql_leaf_start.locking_normal_pri.count,Wait time durations for requests that waited
admission_wait_durations_sql_leaf_start_normal_pri,cockroachdb.admission.wait_durations.sql_leaf_start.normal_pri.count,Wait time durations for requests that waited
admission_wait_durations_sql_root_start,cockroachdb.admission.wait_durations.sql_root_start.count,Wait time durations for requests that waited
admission_wait_durations_sql_root_start_locking_normal_pri,cockroachdb.admission.wait_durations.sql_root_start.locking_normal_pri.count,Wait time durations for requests that waited
admission_wait_durations_sql_root_start_normal_pri,cockroachdb.admission.wait_durations.sql_root_start.normal_pri.count,Wait time durations for requests that waited
admission_wait_durations_sql_sql_response,cockroachdb.admission.wait.durations.sql_sql.response.count,Wait time durations for requests that waited
admission_wait_durations_sql_sql_response,cockroachdb.admission.wait.queue.length.sql_sql.response,Wait time durations for requests that waited
admission_wait_durations_sql_sql_response,cockroachdb.admission.wait_durations.sql_sql_response.count,Wait time durations for requests that waited
admission_wait_durations_sql_sql_response_locking_normal_pri,cockroachdb.admission.wait_durations.sql_sql_response.locking_normal_pri.count,Wait time durations for requests that waited
admission_wait_durations_sql_sql_response_normal_pri,cockroachdb.admission.wait_durations.sql_sql_response.normal_pri.count,Wait time durations for requests that waited
admission_wait_queue_length_elastic_cpu,cockroachdb.admission.wait_queue_length.elastic_cpu,Length of wait queue
admission_wait_queue_length_elastic_cpu_bulk_normal_pri,cockroachdb.admission.wait_queue_length.elastic_cpu.bulk_normal_pri,Length of wait queue
admission_wait_queue_length_elastic_cpu_normal_pri,cockroachdb.admission.wait_queue_length.elastic_cpu.normal_pri,Length of wait queue
admission_wait_queue_length_kv,cockroachdb.admission.wait_queue_length.kv,Length of wait queue
admission_wait_queue_length_kv,cockroachdb.admission.wait.queue.length.kv,Length of wait queue
admission_wait_queue_length_kv_high_pri,cockroachdb.admission.wait_queue_length.kv.high_pri,Length of wait queue
admission_wait_queue_length_kv_locking_normal_pri,cockroachdb.admission.wait_queue_length.kv.locking_normal_pri,Length of wait queue
admission_wait_queue_length_kv_normal_pri,cockroachdb.admission.wait_queue_length.kv.normal_pri,Length of wait queue
admission_wait_queue_length_kv_stores,cockroachdb.admission.wait.queue.length.kv_stores,Length of wait queue
admission_wait_queue_length_kv_stores,cockroachdb.admission.wait_queue_length.kv_stores,Length of wait queue
admission_wait_queue_length_kv_stores_high_pri,cockroachdb.admission.wait_queue_length.kv_stores.high_pri,Length of wait queue
admission_wait_queue_length_kv_stores_locking_normal_pri,cockroachdb.admission.wait_queue_length.kv_stores.locking_normal_pri,Length of wait queue
admission_wait_queue_length_kv_stores_normal_pri,cockroachdb.admission.wait_queue_length.kv_stores.normal_pri,Length of wait queue
admission_wait_queue_length_sql_kv_response,cockroachdb.admission.wait_queue_length.sql_kv_response,Length of wait queue
admission_wait_queue_length_sql_kv_response,cockroachdb.admission.wait.queue.length.sql_kv.response,Length of wait queue
admission_wait_queue_length_sql_kv_response_locking_normal_pri,cockroachdb.admission.wait_queue_length.sql_kv_response.locking_normal_pri,Length of wait queue
admission_wait_queue_length_sql_kv_response_normal_pri,cockroachdb.admission.wait_queue_length.sql_kv_response.normal_pri,Length of wait queue
admission_wait_queue_length_sql_leaf_start,cockroachdb.admission.wait.queue.length.sql.leaf.start,Length of wait queue
admission_wait_queue_length_sql_leaf_start,cockroachdb.admission.wait_queue_length.sql_leaf_start,Length of wait queue
admission_wait_queue_length_sql_leaf_start_locking_normal_pri,cockroachdb.admission.wait_queue_length.sql_leaf_start.locking_normal_pri,Length of wait queue
admission_wait_queue_length_sql_leaf_start_normal_pri,cockroachdb.admission.wait_queue_length.sql_leaf_start.normal_pri,Length of wait queue
admission_wait_queue_length_sql_root_start,cockroachdb.admission.wait_queue_length.sql_root_start,Length of wait queue
admission_wait_queue_length_sql_root_start_locking_normal_pri,cockroachdb.admission.wait_queue_length.sql_root_start.locking_normal_pri,Length of wait queue
admission_wait_queue_length_sql_root_start_normal_pri,cockroachdb.admission.wait_queue_length.sql_root_start.normal_pri,Length of wait queue
admission_wait_queue_length_sql_sql_response,cockroachdb.admission.wait_queue_length.sql_sql_response,Length of wait queue
admission_wait_queue_length_sql_sql_response_locking_normal_pri,cockroachdb.admission.wait_queue_length.sql_sql_response.locking_normal_pri,Length of wait queue
admission_wait_queue_length_sql_sql_response_normal_pri,cockroachdb.admission.wait_queue_length.sql_sql_response.normal_pri,Length of wait queue
backup_last_failed_time_kms_inaccessible,cockroachdb.backup.last_failed_time.kms_inaccessible,The unix timestamp of the most recent failure of backup due to errKMSInaccessible by a backup specified as maintaining this metric
batch_requests_bytes,cockroachdb.batch_requests.bytes.count,Total byte count of batch requests processed
batch_requests_cross_region_bytes,cockroachdb.batch_requests.cross_region.bytes.count,Total byte count of batch requests processed cross region when region tiers are configured
batch_requests_cross_zone_bytes,cockroachdb.batch_requests.cross_zone.bytes.count,"Total byte count of batch requests processed cross zone within the same region when region and zone tiers are configured. However, if the region tiers are not configured, this count may also include batch data sent between different regions. Ensuring consistent configuration of region and zone tiers across nodes helps to accurately monitor the data transmitted."
batch_responses_bytes,cockroachdb.batch_responses.bytes.count,Total byte count of batch responses received
batch_responses_cross_region_bytes,cockroachdb.batch_responses.cross_region.bytes.count,Total byte count of batch responses received cross region when region tiers are configured
batch_responses_cross_zone_bytes,cockroachdb.batch_responses.cross_zone.bytes.count,"Total byte count of batch responses received cross zone within the same region when region and zone tiers are configured. However, if the region tiers are not configured, this count may also include batch data received between different regions. Ensuring consistent configuration of region and zone tiers across nodes helps to accurately monitor the data transmitted."
build_timestamp,cockroachdb.build.timestamp,Build information
capacity_available,cockroachdb.capacity.available,Available storage capacity
capacity_reserved,cockroachdb.capacity.reserved,Capacity reserved for snapshots
capacity_used,cockroachdb.capacity.used,Used storage capacity
changefeed_admit_latency,cockroachdb.changefeed.admit.latency.count,"Event admission latency: a difference between event MVCC timestamp and the time it was admitted into changefeed pipeline; Note: this metric includes the time spent waiting until event can be processed due to backpressure or time spent resolving schema descriptors. Also note, this metric excludes latency during backfill"
changefeed_aggregator_progress,cockroachdb.changefeed.aggregator_progress,The earliest timestamp up to which any aggregator is guaranteed to have emitted all values for
changefeed_backfill_count,cockroachdb.changefeed.backfill_count,Number of changefeeds currently executing backfill
changefeed_backfill_pending_ranges,cockroachdb.changefeed.backfill.pending.ranges,Number of ranges in an ongoing backfill that are yet to be fully emitted
changefeed_batch_reduction_count,cockroachdb.changefeed.batch_reduction_count,Number of times a changefeed aggregator node attempted to reduce the size of message batches it emitted to the sink
changefeed_buffer_entries_allocated_mem,cockroachdb.changefeed.buffer_entries.allocated_mem,Current quota pool memory allocation
changefeed_buffer_entries_flush,cockroachdb.changefeed.buffer_entries.flush.count,Number of flush elements added to the buffer
changefeed_buffer_entries_in,cockroachdb.changefeed.buffer_entries.in.count,Total entries entering the buffer between raft and changefeed sinks
changefeed_buffer_entries_kv,cockroachdb.changefeed.buffer_entries.kv.count,Number of kv elements added to the buffer
changefeed_buffer_entries_mem_acquired,cockroachdb.changefeed.buffer_entries_mem.acquired.count,Total amount of memory acquired for entries as they enter the system
changefeed_buffer_entries_mem_released,cockroachdb.changefeed.buffer_entries_mem.released.count,Total amount of memory released by the entries after they have been emitted
changefeed_buffer_entries_out,cockroachdb.changefeed.buffer_entries.out.count,Total entries leaving the buffer between raft and changefeed sinks
changefeed_buffer_entries_released,cockroachdb.changefeed.buffer_entries.released.count,"Total entries processed, emitted and acknowledged by the sinks"
changefeed_buffer_entries_resolved,cockroachdb.changefeed.buffer_entries.resolved.count,Number of resolved elements added to the buffer
changefeed_checkpoint_hist_nanos,cockroachdb.changefeed.checkpoint_hist_nanos.count,Time spent checkpointing changefeed progress
changefeed_checkpoint_progress,cockroachdb.changefeed.checkpoint_progress,The earliest timestamp of any changefeed's persisted checkpoint (values prior to this timestamp will never need to be re-emitted)
changefeed_cloudstorage_buffered_bytes,cockroachdb.changefeed.cloudstorage_buffered_bytes,The number of bytes buffered in cloudstorage sink files which have not been emitted yet
changefeed_commit_latency,cockroachdb.changefeed.commit.latency.count,"Event commit latency: a difference between event MVCC timestamp and the time it was acknowledged by the downstream sink. If the sink batches events, then the difference between the oldest event in the batch and acknowledgement is recorded; Excludes latency during backfill"
changefeed_emitted_bytes,cockroachdb.changefeed.emitted_bytes.count,Bytes emitted by all feeds
changefeed_emitted_bytes,cockroachdb.changefeed.emitted_bytes,Bytes emitted by all feeds
changefeed_emitted_messages,cockroachdb.changefeed.emitted_messages,Messages emitted by all feeds
changefeed_emitted_messages,cockroachdb.changefeed.emitted.messages.count,Messages emitted by all feeds
changefeed_error_retries,cockroachdb.changefeed.error.retries.count,Total retryable errors encountered by all changefeeds
changefeed_error_retries,cockroachdb.changefeed.error_retries,Total retryable errors encountered by all changefeeds
changefeed_failures,cockroachdb.changefeed.failures.count,Total number of changefeed jobs which have failed
changefeed_filtered_messages,cockroachdb.changefeed.filtered_messages.count,Messages filtered out by all feeds. This count does not include the number of messages that may be filtered due to the range constraints.
changefeed_flush_hist_nanos,cockroachdb.changefeed.flush_hist_nanos.count,Time spent flushing messages across all changefeeds
changefeed_flushed_bytes,cockroachdb.changefeed.flushed_bytes.count,Bytes emitted by all feeds; maybe different from changefeed.emitted_bytes when compression is enabled
changefeed_flushes,cockroachdb.changefeed.flushes.count,Total flushes across all feeds
changefeed_forwarded_resolved_messages,cockroachdb.changefeed.forwarded_resolved_messages.count,Resolved timestamps forwarded from the change aggregator to the change frontier
changefeed_frontier_updates,cockroachdb.changefeed.frontier_updates.count,Number of change frontier updates across all feeds
changefeed_lagging_ranges,cockroachdb.changefeed.lagging_ranges,The number of ranges considered to be lagging behind
changefeed_max_behind_nanos,cockroachdb.changefeed.max_behind_nanos,(Deprecated in favor of checkpoint_progress) The most any changefeed's persisted checkpoint is behind the present
changefeed_max_behind_nanos,cockroachdb.changefeed.max.behind.nanos,(Deprecated in favor of checkpoint_progress) The most any changefeed's persisted checkpoint is behind the present
changefeed_message_size_hist,cockroachdb.changefeed.message.size.hist.count,Message size histogram
changefeed_message_size_hist,cockroachdb.changefeed.message_size_hist.count,Message size histogram
changefeed_nprocs_consume_event_nanos,cockroachdb.changefeed.nprocs_consume_event_nanos.count,Total time spent waiting to add an event to the parallel consumer
changefeed_nprocs_flush_nanos,cockroachdb.changefeed.nprocs_flush_nanos.count,Total time spent idle waiting for the parallel consumer to flush
changefeed_parallel_io_queue_nanos,cockroachdb.changefeed.parallel_io_queue_nanos.count,Time that outgoing requests to the sink spend waiting in a queue due to in-flight requests with conflicting keys
changefeed_running,cockroachdb.changefeed.running,"Number of currently running changefeeds, including sinkless"
changefeed_schema_registry_registrations,cockroachdb.changefeed.schema_registry.registrations.count,Number of registration attempts with the schema registry
changefeed_schemafeed_table_history_scans,cockroachdb.changefeed.schemafeed.table_history_scans.count,The number of table history scans during polling
changefeed_sink_batch_hist_nanos,cockroachdb.changefeed.sink_batch_hist_nanos.count,Time spent batched in the sink buffer before being flushed and acknowledged
changefeed_sink_io_inflight,cockroachdb.changefeed.sink_io_inflight,The number of keys currently inflight as IO requests being sent to the sink
changefeed_size_based_flushes,cockroachdb.changefeed.size_based_flushes.count,Total size based flushes across all feeds
clock_offset_meannanos,cockroachdb.clock.offset.meannanos,Mean clock offset with other nodes
clock_offset_stddevnanos,cockroachdb.clock.offset.stddevnanos,Stddev clock offset with other nodes
cloud_read_bytes,cockroachdb.cloud.read_bytes.count,Bytes read from all cloud operations
cloud_write_bytes,cockroachdb.cloud.write_bytes.count,Bytes written by all cloud operations
cluster_preserve_downgrade_option_last_updated,cockroachdb.cluster.preserve_downgrade_option.last_updated,Unix timestamp of last updated time for cluster.preserve_downgrade_option
distsender_batch_requests_cross_region_bytes,cockroachdb.distsender.batch_requests.cross_region.bytes.count,Total byte count of replica-addressed batch requests processed cross region when region tiers are configured
distsender_batch_requests_cross_zone_bytes,cockroachdb.distsender.batch_requests.cross_zone.bytes.count,"Total byte count of replica-addressed batch requests processed cross zone within the same region when region and zone tiers are configured. However, if the region tiers are not configured, this count may also include batch data sent between different regions. Ensuring consistent configuration of region and zone tiers across nodes helps to accurately monitor the data transmitted."
distsender_batch_requests_replica_addressed_bytes,cockroachdb.distsender.batch_requests.replica_addressed.bytes.count,Total byte count of replica-addressed batch requests processed
distsender_batch_responses_cross_region_bytes,cockroachdb.distsender.batch_responses.cross_region.bytes.count,Total byte count of replica-addressed batch responses received cross region when region tiers are configured
