metric_name,metric_type,interval,unit_name,per_unit_name,description,orientation,integration,curated_metric
zookeeper.election_time,gauge,,,,[zookeeper version 3.6+ only] Time between entering and leaving election,0,zookeeper,
zookeeper.election_time_count,gauge,,,,[zookeeper version 3.6+ only] Time between entering and leaving election,0,zookeeper,
zookeeper.election_time_sum,gauge,,,,[zookeeper version 3.6+ only] Time between entering and leaving election,0,zookeeper,
zookeeper.ensemble_auth_fail,gauge,,,,[zookeeper version 3.6+ only],0,zookeeper,
zookeeper.ensemble_auth_skip,gauge,,,,[zookeeper version 3.6+ only],0,zookeeper,
zookeeper.ensemble_auth_success,gauge,,,,[zookeeper version 3.6+ only],0,zookeeper,
zookeeper.ephemerals_count,gauge,,,,,0,zookeeper,
zookeeper.follower_sync_time,gauge,,,,[zookeeper version 3.6+ only] Time for follower to sync with leader,0,zookeeper,
zookeeper.follower_sync_time_count,gauge,,,,[zookeeper version 3.6+ only] Time for follower to sync with leader,0,zookeeper,
zookeeper.follower_sync_time_sum,gauge,,,,[zookeeper version 3.6+ only] Time for follower to sync with leader,0,zookeeper,
zookeeper.fsynctime,gauge,,,,[zookeeper version 3.6+ only] Time to fsync transaction log,0,zookeeper,
zookeeper.fsynctime_count,gauge,,,,[zookeeper version 3.6+ only] Time to fsync transaction log,0,zookeeper,
zookeeper.fsynctime_sum,gauge,,,,[zookeeper version 3.6+ only] Time to fsync transaction log,0,zookeeper,
zookeeper.global_sessions,gauge,,,,[zookeeper version 3.6+ only] Count of global sessions,0,zookeeper,
zookeeper.instances,gauge,,,,,0,zookeeper,
zookeeper.jvm_buffer_pool_capacity_bytes,gauge,,,,[zookeeper version 3.6+ only],0,zookeeper,
zookeeper.jvm_buffer_pool_used_buffers,gauge,,,,[zookeeper version 3.6+ only],0,zookeeper,
zookeeper.jvm_buffer_pool_used_bytes,gauge,,,,[zookeeper version 3.6+ only],0,zookeeper,
zookeeper.jvm_classes_loaded,gauge,,,,[zookeeper version 3.6+ only],0,zookeeper,
zookeeper.jvm_classes_loaded_total,gauge,,,,[zookeeper version 3.6+ only],0,zookeeper,
zookeeper.jvm_classes_unloaded_total,gauge,,,,[zookeeper version 3.6+ only],0,zookeeper,
zookeeper.jvm_gc_collection_seconds_count,gauge,,,,[zookeeper version 3.6+ only],0,zookeeper,
zookeeper.jvm_gc_collection_seconds_sum,gauge,,,,[zookeeper version 3.6+ only],0,zookeeper,
zookeeper.jvm_info,gauge,,,,[zookeeper version 3.6+ only],0,zookeeper,
zookeeper.jvm_memory_bytes_committed,gauge,,,,[zookeeper version 3.6+ only],0,zookeeper,
zookeeper.jvm_memory_bytes_init,gauge,,,,[zookeeper version 3.6+ only],0,zookeeper,
zookeeper.jvm_memory_bytes_max,gauge,,,,[zookeeper version 3.6+ only],0,zookeeper,
zookeeper.jvm_memory_bytes_used,gauge,,,,[zookeeper version 3.6+ only],0,zookeeper,
zookeeper.jvm_memory_pool_allocated_bytes_total,gauge,,,,[zookeeper version 3.6+ only],0,zookeeper,
zookeeper.jvm_memory_pool_bytes_committed,gauge,,,,[zookeeper version 3.6+ only],0,zookeeper,
zookeeper.jvm_memory_pool_bytes_init,gauge,,byte,,[zookeeper version 3.6+ only],0,zookeeper,
zookeeper.jvm_memory_pool_bytes_max,gauge,,byte,,[zookeeper version 3.6+ only],0,zookeeper,
zookeeper.jvm_memory_pool_bytes_used,gauge,,byte,,[zookeeper version 3.6+ only],0,zookeeper,
zookeeper.jvm_threads_current,gauge,,,,[zookeeper version 3.6+ only],0,zookeeper,
zookeeper.jvm_threads_daemon,gauge,,,,[zookeeper version 3.6+ only],0,zookeeper,
zookeeper.jvm_threads_deadlocked,gauge,,,,[zookeeper version 3.6+ only],0,zookeeper,
zookeeper.jvm_threads_deadlocked_monitor,gauge,,,,[zookeeper version 3.6+ only],0,zookeeper,
zookeeper.jvm_threads_peak,gauge,,,,[zookeeper version 3.6+ only],0,zookeeper,
zookeeper.jvm_threads_started_total,gauge,,,,[zookeeper version 3.6+ only],0,zookeeper,
zookeeper.jvm_threads_state,gauge,,,,[zookeeper version 3.6+ only],0,zookeeper,
zookeeper.large_requests_rejected,gauge,,,,[zookeeper version 3.6+ only],0,zookeeper,
zookeeper.last_client_response_size,gauge,,,,[zookeeper version 3.6+ only],0,zookeeper,
zookeeper.latency.avg,gauge,,millisecond,,The amount of time it takes for the server to respond to a client request.,0,zookeeper,
zookeeper.latency.max,gauge,,millisecond,,The amount of time it takes for the server to respond to a client request.,-1,zookeeper,
zookeeper.latency.min,gauge,,millisecond,,The amount of time it takes for the server to respond to a client request.,1,zookeeper,
zookeeper.learner_commit_received_count,gauge,,,,[zookeeper version 3.6+ only],0,zookeeper,
zookeeper.learner_proposal_received_count,gauge,,,,[zookeeper version 3.6+ only],0,zookeeper,
zookeeper.local_sessions,gauge,,,,[zookeeper version 3.6+ only] Count of local sessions,0,zookeeper,
zookeeper.local_write_committed_time_ms,gauge,,,,[zookeeper version 3.6+ only] Histogram of local_write_committed_time_ms,0,zookeeper,
zookeeper.local_write_committed_time_ms_count,gauge,,,,[zookeeper version 3.6+ only] Total count of local_write_committed_time_ms,0,zookeeper,
zookeeper.local_write_committed_time_ms_sum,gauge,,,,[zookeeper version 3.6+ only] Sum of local_write_committed_time_ms,0,zookeeper,
zookeeper.looking_count,gauge,,,,[zookeeper version 3.6+ only] Number of transitions into looking state,0,zookeeper,
zookeeper.max_client_response_size,gauge,,,,[zookeeper version 3.6+ only],0,zookeeper,
zookeeper.max_file_descriptor_count,gauge,,,,,0,zookeeper,
zookeeper.max_latency,gauge,,millisecond,,The amount of time it takes for the server to respond to a client request.,-1,zookeeper,
zookeeper.min_client_response_size,gauge,,,,[zookeeper version 3.6+ only],0,zookeeper,
zookeeper.min_latency,gauge,,millisecond,,The amount of time it takes for the server to respond to a client request.,1,zookeeper,
zookeeper.netty_queued_buffer_capacity,gauge,,,,[zookeeper version 3.6+ only] Histogram of netty_queued_buffer_capacity,0,zookeeper,
zookeeper.netty_queued_buffer_capacity_count,gauge,,,,[zookeeper version 3.6+ only] Total count of netty_queued_buffer_capacity,0,zookeeper,
zookeeper.netty_queued_buffer_capacity_sum,gauge,,,,[zookeeper version 3.6+ only] Sum of netty_queued_buffer_capacity,0,zookeeper,
zookeeper.node_changed_watch_count,gauge,,,,[zookeeper version 3.6+ only] Histogram of node_changed_watch_count,0,zookeeper,
zookeeper.node_changed_watch_count_count,gauge,,,,[zookeeper version 3.6+ only] Total count of node_changed_watch_count,0,zookeeper,
zookeeper.node_changed_watch_count_sum,gauge,,,,[zookeeper version 3.6+ only] Sum of node_changed_watch_count,0,zookeeper,
zookeeper.node_children_watch_count,gauge,,,,[zookeeper version 3.6+ only] Histogram of node_children_watch_count,0,zookeeper,
zookeeper.node_children_watch_count_count,gauge,,,,[zookeeper version 3.6+ only] Total count of node_children_watch_count,0,zookeeper,
zookeeper.node_children_watch_count_sum,gauge,,,,[zookeeper version 3.6+ only] Sum of node_children_watch_count,0,zookeeper,
zookeeper.node_created_watch_count,gauge,,,,[zookeeper version 3.6+ only] Histogram of node_created_watch_count,0,zookeeper,
zookeeper.node_created_watch_count_count,gauge,,,,[zookeeper version 3.6+ only] Total count of node_created_watch_count,0,zookeeper,
zookeeper.node_created_watch_count_sum,gauge,,,,[zookeeper version 3.6+ only] Sum of node_created_watch_count,0,zookeeper,
zookeeper.node_deleted_watch_count,gauge,,,,[zookeeper version 3.6+ only] Histogram of node_deleted_watch_count,0,zookeeper,
zookeeper.node_deleted_watch_count_count,gauge,,,,[zookeeper version 3.6+ only] Total count of node_deleted_watch_count,0,zookeeper,
zookeeper.node_deleted_watch_count_sum,gauge,,,,[zookeeper version 3.6+ only] Sum of node_deleted_watch_count,0,zookeeper,
zookeeper.nodes,gauge,,node,,The number of znodes in the ZooKeeper namespace (the data).,0,zookeeper,
zookeeper.num_alive_connections,gauge,,connection,,The total count of client connections.,0,zookeeper,
zookeeper.om_commit_process_time_ms,gauge,,,,[zookeeper version 3.6+ only] Histogram of om_commit_process_time_ms,0,zookeeper,
zookeeper.om_commit_process_time_ms_count,gauge,,,,[zookeeper version 3.6+ only] Total count of om_commit_process_time_ms,0,zookeeper,
zookeeper.om_commit_process_time_ms_sum,gauge,,,,[zookeeper version 3.6+ only] Sum of om_commit_process_time_ms,0,zookeeper,
zookeeper.om_proposal_process_time_ms,gauge,,,,[zookeeper version 3.6+ only] Histogram of om_proposal_process_time_ms,0,zookeeper,
zookeeper.om_proposal_process_time_ms_count,gauge,,,,[zookeeper version 3.6+ only] Total count of om_proposal_process_time_ms,0,zookeeper,
zookeeper.om_proposal_process_time_ms_sum,gauge,,,,[zookeeper version 3.6+ only] Sum of om_proposal_process_time_ms,0,zookeeper,
zookeeper.open_file_descriptor_count,gauge,,,,,0,zookeeper,
zookeeper.outstanding_changes_queued,gauge,,,,[zookeeper version 3.6+ only],0,zookeeper,
zookeeper.outstanding_changes_removed,gauge,,,,[zookeeper version 3.6+ only],0,zookeeper,
zookeeper.outstanding_requests,gauge,,request,,The number of queued requests when the server is under load and is receiving more sustained requests than it can process.,-1,zookeeper,
zookeeper.outstanding_tls_handshake,gauge,,,,[zookeeper version 3.6+ only],0,zookeeper,
zookeeper.packets.received,gauge,,packet,second,The number of packets received.,0,zookeeper,
zookeeper.packets.sent,gauge,,packet,second,The number of packets sent.,0,zookeeper,
zookeeper.packets_received,gauge,,packet,second,The number of packets received.,0,zookeeper,
zookeeper.packets_sent,gauge,,packet,second,The number of packets sent.,0,zookeeper,
zookeeper.pending_session_queue_size,gauge,,,,[zookeeper version 3.6+ only] Histogram of pending_session_queue_size,0,zookeeper,
zookeeper.pending_session_queue_size_count,gauge,,,,[zookeeper version 3.6+ only] Total count of pending_session_queue_size,0,zookeeper,
zookeeper.pending_session_queue_size_sum,gauge,,,,[zookeeper version 3.6+ only] Sum of pending_session_queue_size,0,zookeeper,
zookeeper.prep_process_time,gauge,,,,[zookeeper version 3.6+ only] Histogram of prep_process_time,0,zookeeper,
zookeeper.prep_process_time_count,gauge,,,,[zookeeper version 3.6+ only] Total count of prep_process_time,0,zookeeper,
zookeeper.prep_process_time_sum,gauge,,,,[zookeeper version 3.6+ only] Sum of prep_process_time,0,zookeeper,
zookeeper.prep_processor_queue_size,gauge,,,,[zookeeper version 3.6+ only] Histogram of prep_processor_queue_size,0,zookeeper,
zookeeper.prep_processor_queue_size_count,gauge,,,,[zookeeper version 3.6+ only] Total count of prep_processor_queue_size,0,zookeeper,
zookeeper.prep_processor_queue_size_sum,gauge,,,,[zookeeper version 3.6+ only] Sum of prep_processor_queue_size,0,zookeeper,
zookeeper.prep_processor_queue_time_ms,gauge,,,,[zookeeper version 3.6+ only] Histogram of prep_processor_queue_time_ms,0,zookeeper,
zookeeper.prep_processor_queue_time_ms_count,gauge,,,,[zookeeper version 3.6+ only] Total count of prep_processor_queue_time_ms,0,zookeeper,
zookeeper.prep_processor_queue_time_ms_sum,gauge,,,,[zookeeper version 3.6+ only] Sum of prep_processor_queue_time_ms,0,zookeeper,
zookeeper.prep_processor_request_queued,gauge,,,,[zookeeper version 3.6+ only],0,zookeeper,
zookeeper.process_cpu_seconds_total,gauge,,,,[zookeeper version 3.6+ only],0,zookeeper,
zookeeper.process_max_fds,gauge,,,,[zookeeper version 3.6+ only],0,zookeeper,
zookeeper.process_open_fds,gauge,,,,[zookeeper version 3.6+ only],0,zookeeper,
zookeeper.process_resident_memory_bytes,gauge,,byte,,[zookeeper version 3.6+ only],0,zookeeper,
zookeeper.process_start_time_seconds,gauge,,second,,[zookeeper version 3.6+ only],0,zookeeper,
zookeeper.process_virtual_memory_bytes,gauge,,byte,,[zookeeper version 3.6+ only],0,zookeeper,
zookeeper.propagation_latency,gauge,,,,"[zookeeper version 3.6+ only] End-to-end latency for updates, from proposal on leader to committed-to-datatree on a given host",0,zookeeper,
zookeeper.propagation_latency_count,gauge,,,,"[zookeeper version 3.6+ only] End-to-end latency for updates, from proposal on leader to committed-to-datatree on a given host",0,zookeeper,
zookeeper.propagation_latency_sum,gauge,,,,"[zookeeper version 3.6+ only] End-to-end latency for updates, from proposal on leader to committed-to-datatree on a given host",0,zookeeper,
zookeeper.proposal_ack_creation_latency,gauge,,,,[zookeeper version 3.6+ only] Histogram of proposal_ack_creation_latency,0,zookeeper,
zookeeper.proposal_ack_creation_latency_count,gauge,,,,[zookeeper version 3.6+ only] Total count of proposal_ack_creation_latency,0,zookeeper,
zookeeper.proposal_ack_creation_latency_sum,gauge,,,,[zookeeper version 3.6+ only] Sum of proposal_ack_creation_latency,0,zookeeper,
zookeeper.proposal_count,gauge,,,,[zookeeper version 3.6+ only],0,zookeeper,
zookeeper.proposal_latency,gauge,,,,[zookeeper version 3.6+ only] Histogram of proposal_latency,0,zookeeper,
zookeeper.proposal_latency_count,gauge,,,,[zookeeper version 3.6+ only] Total count of proposal_latency,0,zookeeper,
zookeeper.proposal_latency_sum,gauge,,,,[zookeeper version 3.6+ only] Sum of proposal_latency,0,zookeeper,
zookeeper.quit_leading_due_to_disloyal_voter,gauge,,,,[zookeeper version 3.6+ only],0,zookeeper,
zookeeper.quorum_ack_latency,gauge,,,,[zookeeper version 3.6+ only] Histogram of quorum_ack_latency,0,zookeeper,
zookeeper.quorum_ack_latency_count,gauge,,,,[zookeeper version 3.6+ only] Total count of quorum_ack_latency,0,zookeeper,
zookeeper.quorum_ack_latency_sum,gauge,,,,[zookeeper version 3.6+ only] Sum of quorum_ack_latency,0,zookeeper,
zookeeper.read_commit_proc_issued,gauge,,,,[zookeeper version 3.6+ only] Histogram of read_commit_proc_issued,0,zookeeper,
zookeeper.read_commit_proc_issued_count,gauge,,,,[zookeeper version 3.6+ only] Total count of read_commit_proc_issued,0,zookeeper,
zookeeper.read_commit_proc_issued_sum,gauge,,,,[zookeeper version 3.6+ only] Sum of read_commit_proc_issued,0,zookeeper,
zookeeper.read_commit_proc_req_queued,gauge,,,,[zookeeper version 3.6+ only] Histogram of read_commit_proc_req_queued,0,zookeeper,
zookeeper.read_commit_proc_req_queued_count,gauge,,,,[zookeeper version 3.6+ only] Total count of read_commit_proc_req_queued,0,zookeeper,
zookeeper.read_commit_proc_req_queued_sum,gauge,,,,[zookeeper version 3.6+ only] Sum of read_commit_proc_req_queued,0,zookeeper,
zookeeper.read_commitproc_time_ms,gauge,,,,[zookeeper version 3.6+ only] Histogram of read_commitproc_time_ms,0,zookeeper,
zookeeper.read_commitproc_time_ms_count,gauge,,,,[zookeeper version 3.6+ only] Total count of read_commitproc_time_ms,0,zookeeper,
zookeeper.read_commitproc_time_ms_sum,gauge,,,,[zookeeper version 3.6+ only] Sum of read_commitproc_time_ms,0,zookeeper,
zookeeper.read_final_proc_time_ms,gauge,,,,[zookeeper version 3.6+ only] Histogram of read_final_proc_time_ms,0,zookeeper,
zookeeper.read_final_proc_time_ms_count,gauge,,,,[zookeeper version 3.6+ only] Total count of read_final_proc_time_ms,0,zookeeper,
zookeeper.read_final_proc_time_ms_sum,gauge,,,,[zookeeper version 3.6+ only] Sum of read_final_proc_time_ms,0,zookeeper,
zookeeper.readlatency,gauge,,,,[zookeeper version 3.6+ only] Histogram of readlatency Read request latency,0,zookeeper,
zookeeper.readlatency_count,gauge,,,,[zookeeper version 3.6+ only] Total count of readlatency Read request latency,0,zookeeper,
zookeeper.readlatency_sum,gauge,,,,[zookeeper version 3.6+ only] Sum of readlatency Read request latency,0,zookeeper,
zookeeper.reads_after_write_in_session_queue,gauge,,,,[zookeeper version 3.6+ only] Histogram of reads_after_write_in_session_queue,0,zookeeper,
zookeeper.reads_after_write_in_session_queue_count,gauge,,,,[zookeeper version 3.6+ only] Total count of reads_after_write_in_session_queue,0,zookeeper,
zookeeper.reads_after_write_in_session_queue_sum,gauge,,,,[zookeeper version 3.6+ only] Sum of reads_after_write_in_session_queue,0,zookeeper,
zookeeper.reads_issued_from_session_queue,gauge,,,,[zookeeper version 3.6+ only] Histogram of reads_issued_from_session_queue,0,zookeeper,
zookeeper.reads_issued_from_session_queue_count,gauge,,,,[zookeeper version 3.6+ only] Total count of reads_issued_from_session_queue,0,zookeeper,
zookeeper.reads_issued_from_session_queue_sum,gauge,,,,[zookeeper version 3.6+ only] Sum of reads_issued_from_session_queue,0,zookeeper,
zookeeper.request_commit_queued,gauge,,,,[zookeeper version 3.6+ only] Count of request commits queued,0,zookeeper,
zookeeper.request_throttle_wait_count,gauge,,,,[zookeeper version 3.6+ only],0,zookeeper,
zookeeper.requests_in_session_queue,gauge,,,,[zookeeper version 3.6+ only] Histogram of requests_in_session_queue,0,zookeeper,
zookeeper.requests_in_session_queue_count,gauge,,,,[zookeeper version 3.6+ only] Total count of requests_in_session_queue,0,zookeeper,
zookeeper.requests_in_session_queue_sum,gauge,,,,[zookeeper version 3.6+ only] Sum of requests_in_session_queue,0,zookeeper,
zookeeper.response_packet_cache_hits,gauge,,,,[zookeeper version 3.6+ only],0,zookeeper,
zookeeper.response_packet_cache_misses,gauge,,,,[zookeeper version 3.6+ only],0,zookeeper,
zookeeper.response_packet_get_children_cache_hits,gauge,,,,[zookeeper version 3.6+ only],0,zookeeper,
zookeeper.response_packet_get_children_cache_misses,gauge,,,,[zookeeper version 3.6+ only],0,zookeeper,
zookeeper.revalidate_count,gauge,,,,[zookeeper version 3.6+ only],0,zookeeper,
zookeeper.server_state,gauge,,,,,0,zookeeper,
zookeeper.server_write_committed_time_ms,gauge,,,,[zookeeper version 3.6+ only] Histogram of server_write_committed_time_ms,0,zookeeper,
zookeeper.server_write_committed_time_ms_count,gauge,,,,[zookeeper version 3.6+ only] Total count of server_write_committed_time_ms,0,zookeeper,
zookeeper.server_write_committed_time_ms_sum,gauge,,,,[zookeeper version 3.6+ only] Sum of server_write_committed_time_ms,0,zookeeper,
zookeeper.session_queues_drained,gauge,,,,[zookeeper version 3.6+ only] Histogram of session_queues_drained,0,zookeeper,
zookeeper.session_queues_drained_count,gauge,,,,[zookeeper version 3.6+ only] Total count of session_queues_drained,0,zookeeper,
zookeeper.session_queues_drained_sum,gauge,,,,[zookeeper version 3.6+ only] Sum of session_queues_drained,0,zookeeper,
zookeeper.sessionless_connections_expired,gauge,,,,[zookeeper version 3.6+ only],0,zookeeper,
zookeeper.snap_count,gauge,,,,[zookeeper version 3.6+ only] Number of snap syncs performed,0,zookeeper,
zookeeper.snapshottime,gauge,,,,[zookeeper version 3.6+ only] Histogram of snapshottime Time to write a snapshot,0,zookeeper,
zookeeper.snapshottime_count,gauge,,,,[zookeeper version 3.6+ only] Total count of snapshottime Time to write a snapshot,0,zookeeper,
zookeeper.snapshottime_sum,gauge,,,,[zookeeper version 3.6+ only] Sum of snapshottime Time to write a snapshot,0,zookeeper,
zookeeper.stale_replies,gauge,,,,[zookeeper version 3.6+ only],0,zookeeper,
zookeeper.stale_requests,gauge,,,,[zookeeper version 3.6+ only],-1,zookeeper,
zookeeper.stale_requests_dropped,gauge,,,,[zookeeper version 3.6+ only],-1,zookeeper,
zookeeper.stale_sessions_expired,gauge,,,,[zookeeper version 3.6+ only],-1,zookeeper,
zookeeper.startup_snap_load_time,gauge,,,,[zookeeper version 3.6+ only] Histogram of startup_snap_load_time,-1,zookeeper,
zookeeper.startup_snap_load_time_count,gauge,,,,[zookeeper version 3.6+ only] Total count of startup_snap_load_time,0,zookeeper,
zookeeper.startup_snap_load_time_sum,gauge,,,,[zookeeper version 3.6+ only] Sum of startup_snap_load_time,0,zookeeper,
zookeeper.startup_txns_load_time,gauge,,,,[zookeeper version 3.6+ only] Histogram of startup_txns_load_time,0,zookeeper,
zookeeper.startup_txns_load_time_count,gauge,,,,[zookeeper version 3.6+ only] Total count of startup_txns_load_time,0,zookeeper,
zookeeper.startup_txns_load_time_sum,gauge,,,,[zookeeper version 3.6+ only] Sum of startup_txns_load_time,0,zookeeper,
zookeeper.startup_txns_loaded,gauge,,,,[zookeeper version 3.6+ only] Histogram of startup_txns_loaded,0,zookeeper,
zookeeper.startup_txns_loaded_count,gauge,,,,[zookeeper version 3.6+ only] Total count of startup_txns_loaded,0,zookeeper,
zookeeper.startup_txns_loaded_sum,gauge,,,,[zookeeper version 3.6+ only] Sum of startup_txns_loaded,0,zookeeper,
zookeeper.sync_process_time,gauge,,,,[zookeeper version 3.6+ only] Histogram of sync_process_time,0,zookeeper,
zookeeper.sync_process_time_count,gauge,,,,[zookeeper version 3.6+ only] Total count of sync_process_time,0,zookeeper,
zookeeper.sync_process_time_sum,gauge,,,,[zookeeper version 3.6+ only] Sum of sync_process_time,0,zookeeper,
zookeeper.sync_processor_batch_size,gauge,,,,[zookeeper version 3.6+ only] Histogram of sync_processor_batch_size,0,zookeeper,
zookeeper.sync_processor_batch_size_count,gauge,,,,[zookeeper version 3.6+ only] Total count of sync_processor_batch_size,0,zookeeper,
zookeeper.sync_processor_batch_size_sum,gauge,,,,[zookeeper version 3.6+ only] Sum of sync_processor_batch_size,0,zookeeper,
zookeeper.sync_processor_queue_and_flush_time_ms,gauge,,,,[zookeeper version 3.6+ only] Histogram of sync_processor_queue_and_flush_time_ms,0,zookeeper,
zookeeper.sync_processor_queue_and_flush_time_ms_count,gauge,,,,[zookeeper version 3.6+ only] Total count of sync_processor_queue_and_flush_time_ms,0,zookeeper,
zookeeper.sync_processor_queue_and_flush_time_ms_sum,gauge,,,,[zookeeper version 3.6+ only] Sum of sync_processor_queue_and_flush_time_ms,0,zookeeper,
zookeeper.sync_processor_queue_flush_time_ms,gauge,,,,[zookeeper version 3.6+ only] Histogram of sync_processor_queue_flush_time_ms,0,zookeeper,
zookeeper.sync_processor_queue_flush_time_ms_count,gauge,,,,[zookeeper version 3.6+ only] Total count of sync_processor_queue_flush_time_ms,0,zookeeper,
zookeeper.sync_processor_queue_flush_time_ms_sum,gauge,,,,[zookeeper version 3.6+ only] Sum of sync_processor_queue_flush_time_ms,0,zookeeper,
zookeeper.sync_processor_queue_size,gauge,,,,[zookeeper version 3.6+ only] Histogram of sync_processor_queue_size,0,zookeeper,
zookeeper.sync_processor_queue_size_count,gauge,,,,[zookeeper version 3.6+ only] Total count of sync_processor_queue_size,0,zookeeper,
zookeeper.sync_processor_queue_size_sum,gauge,,,,[zookeeper version 3.6+ only] Sum of sync_processor_queue_size,0,zookeeper,
zookeeper.sync_processor_queue_time_ms,gauge,,,,[zookeeper version 3.6+ only] Histogram of sync_processor_queue_time_ms,0,zookeeper,
zookeeper.sync_processor_queue_time_ms_count,gauge,,,,[zookeeper version 3.6+ only] Total count of sync_processor_queue_time_ms,0,zookeeper,
zookeeper.sync_processor_queue_time_ms_sum,gauge,,,,[zookeeper version 3.6+ only] Sum of sync_processor_queue_time_ms,0,zookeeper,
zookeeper.sync_processor_request_queued,gauge,,,,[zookeeper version 3.6+ only],0,zookeeper,
