pinot.server.pinot_server_llcControllerResponse_NotSent_FifteenMinuteRate,,,,,"Attribute exposed for management "org.apache.pinot.common.metrics":name="pinot.server.llcControllerResponseNotSent",type="ServerMetrics",attribute=FifteenMinuteRate",0,pinot.server,,
pinot.server.pinot_server_llcControllerResponse_NotSent_FiveMinuteRate,,,,,"Attribute exposed for management "org.apache.pinot.common.metrics":name="pinot.server.llcControllerResponseNotSent",type="ServerMetrics",attribute=FiveMinuteRate",0,pinot.server,,
pinot.server.pinot_server_llcControllerResponse_NotSent_MeanRate,,,,,"Attribute exposed for management "org.apache.pinot.common.metrics":name="pinot.server.llcControllerResponseNotSent",type="ServerMetrics",attribute=MeanRate",0,pinot.server,,
pinot.server.pinot_server_llcControllerResponse_NotSent_OneMinuteRate,,,,,"Attribute exposed for management "org.apache.pinot.common.metrics":name="pinot.server.llcControllerResponseNotSent",type="ServerMetrics",attribute=OneMinuteRate",0,pinot.server,,
pinot.server.pinot_server_llcControllerResponse_Processed_Count,,,,,"Attribute exposed for management "org.apache.pinot.common.metrics":name="pinot.server.llcControllerResponseProcessed",type="ServerMetrics",attribute=Count",0,pinot.server,,
pinot.server.pinot_server_llcControllerResponse_Processed_FifteenMinuteRate,,,,,"Attribute exposed for management "org.apache.pinot.common.metrics":name="pinot.server.llcControllerResponseProcessed",type="ServerMetrics",attribute=FifteenMinuteRate",0,pinot.server,,
pinot.server.pinot_server_llcControllerResponse_Processed_FiveMinuteRate,,,,,"Attribute exposed for management "org.apache.pinot.common.metrics":name="pinot.server.llcControllerResponseProcessed",type="ServerMetrics",attribute=FiveMinuteRate",0,pinot.server,,
pinot.server.pinot_server_llcControllerResponse_Processed_MeanRate,,,,,"Attribute exposed for management "org.apache.pinot.common.metrics":name="pinot.server.llcControllerResponseProcessed",type="ServerMetrics",attribute=MeanRate",0,pinot.server,,
pinot.server.pinot_server_llcControllerResponse_Processed_OneMinuteRate,,,,,"Attribute exposed for management "org.apache.pinot.common.metrics":name="pinot.server.llcControllerResponseProcessed",type="ServerMetrics",attribute=OneMinuteRate",0,pinot.server,,
pinot.server.pinot_server_llcControllerResponse_UploadSuccess_Count,,,,,"Attribute exposed for management "org.apache.pinot.common.metrics":name="pinot.server.llcControllerResponseUploadSuccess",type="ServerMetrics",attribute=Count",0,pinot.server,,
pinot.server.pinot_server_llcControllerResponse_UploadSuccess_FifteenMinuteRate,,,,,"Attribute exposed for management "org.apache.pinot.common.metrics":name="pinot.server.llcControllerResponseUploadSuccess",type="ServerMetrics",attribute=FifteenMinuteRate",0,pinot.server,,
pinot.server.pinot_server_llcControllerResponse_UploadSuccess_FiveMinuteRate,,,,,"Attribute exposed for management "org.apache.pinot.common.metrics":name="pinot.server.llcControllerResponseUploadSuccess",type="ServerMetrics",attribute=FiveMinuteRate",0,pinot.server,,
pinot.server.pinot_server_llcControllerResponse_UploadSuccess_MeanRate,,,,,"Attribute exposed for management "org.apache.pinot.common.metrics":name="pinot.server.llcControllerResponseUploadSuccess",type="ServerMetrics",attribute=MeanRate",0,pinot.server,,
pinot.server.pinot_server_llcControllerResponse_UploadSuccess_OneMinuteRate,,,,,"Attribute exposed for management "org.apache.pinot.common.metrics":name="pinot.server.llcControllerResponseUploadSuccess",type="ServerMetrics",attribute=OneMinuteRate",0,pinot.server,,
pinot.server.pinot_server_llcSimultaneousSegmentBuilds_Value,,,,,"Attribute exposed for management "org.apache.pinot.common.metrics":name="pinot.server.llcSimultaneousSegmentBuilds",type="ServerMetrics",attribute=Value",0,pinot.server,,
pinot.server.pinot_server_memory_allocationFailureCount_Value,,,,,"Attribute exposed for management "org.apache.pinot.common.metrics":name="pinot.server.memory.allocationFailureCount",type="ServerMetrics",attribute=Value",0,pinot.server,,
pinot.server.pinot_server_memory_directBufferCount_Value,,,,,"Attribute exposed for management "org.apache.pinot.common.metrics":name="pinot.server.memory.directBufferCount",type="ServerMetrics",attribute=Value",0,pinot.server,,
pinot.server.pinot_server_memory_directBufferUsage_Value,,,,,"Attribute exposed for management "org.apache.pinot.common.metrics":name="pinot.server.memory.directBufferUsage",type="ServerMetrics",attribute=Value",0,pinot.server,,
pinot.server.pinot_server_memory_mmapBufferCount_Value,,,,,"Attribute exposed for management "org.apache.pinot.common.metrics":name="pinot.server.memory.mmapBufferCount",type="ServerMetrics",attribute=Value",0,pinot.server,,
pinot.server.pinot_server_memory_mmapBufferUsage_Value,,,,,"Attribute exposed for management "org.apache.pinot.common.metrics":name="pinot.server.memory.mmapBufferUsage",type="ServerMetrics",attribute=Value",0,pinot.server,,
pinot.server.pinot_server_multiStageInMemoryMessages_Count,,,,,"Attribute exposed for management "org.apache.pinot.common.metrics":name="pinot.server.multiStageInMemoryMessages",type="ServerMetrics",attribute=Count",0,pinot.server,,
pinot.server.pinot_server_multiStageInMemoryMessages_FifteenMinuteRate,,,,,"Attribute exposed for management "org.apache.pinot.common.metrics":name="pinot.server.multiStageInMemoryMessages",type="ServerMetrics",attribute=FifteenMinuteRate",0,pinot.server,,
pinot.server.pinot_server_multiStageInMemoryMessages_FiveMinuteRate,,,,,"Attribute exposed for management "org.apache.pinot.common.metrics":name="pinot.server.multiStageInMemoryMessages",type="ServerMetrics",attribute=FiveMinuteRate",0,pinot.server,,
pinot.server.pinot_server_multiStageInMemoryMessages_MeanRate,,,,,"Attribute exposed for management "org.apache.pinot.common.metrics":name="pinot.server.multiStageInMemoryMessages",type="ServerMetrics",attribute=MeanRate",0,pinot.server,,
pinot.server.pinot_server_multiStageInMemoryMessages_OneMinuteRate,,,,,"Attribute exposed for management "org.apache.pinot.common.metrics":name="pinot.server.multiStageInMemoryMessages",type="ServerMetrics",attribute=OneMinuteRate",0,pinot.server,,
pinot.server.pinot_server_multiStageRawBytes_Count,,,,,"Attribute exposed for management "org.apache.pinot.common.metrics":name="pinot.server.multiStageRawBytes",type="ServerMetrics",attribute=Count",0,pinot.server,,
pinot.server.pinot_server_multiStageRawBytes_FifteenMinuteRate,,,,,"Attribute exposed for management "org.apache.pinot.common.metrics":name="pinot.server.multiStageRawBytes",type="ServerMetrics",attribute=FifteenMinuteRate",0,pinot.server,,
pinot.server.pinot_server_multiStageRawBytes_FiveMinuteRate,,,,,"Attribute exposed for management "org.apache.pinot.common.metrics":name="pinot.server.multiStageRawBytes",type="ServerMetrics",attribute=FiveMinuteRate",0,pinot.server,,
pinot.server.pinot_server_multiStageRawBytes_MeanRate,,,,,"Attribute exposed for management "org.apache.pinot.common.metrics":name="pinot.server.multiStageRawBytes",type="ServerMetrics",attribute=MeanRate",0,pinot.server,,
pinot.server.pinot_server_multiStageRawBytes_OneMinuteRate,,,,,"Attribute exposed for management "org.apache.pinot.common.metrics":name="pinot.server.multiStageRawBytes",type="ServerMetrics",attribute=OneMinuteRate",0,pinot.server,,
pinot.server.pinot_server_multiStageRawMessages_Count,,,,,"Attribute exposed for management "org.apache.pinot.common.metrics":name="pinot.server.multiStageRawMessages",type="ServerMetrics",attribute=Count",0,pinot.server,,
pinot.server.pinot_server_multiStageRawMessages_FifteenMinuteRate,,,,,"Attribute exposed for management "org.apache.pinot.common.metrics":name="pinot.server.multiStageRawMessages",type="ServerMetrics",attribute=FifteenMinuteRate",0,pinot.server,,
pinot.server.pinot_server_multiStageRawMessages_FiveMinuteRate,,,,,"Attribute exposed for management "org.apache.pinot.common.metrics":name="pinot.server.multiStageRawMessages",type="ServerMetrics",attribute=FiveMinuteRate",0,pinot.server,,
pinot.server.pinot_server_multiStageRawMessages_MeanRate,,,,,"Attribute exposed for management "org.apache.pinot.common.metrics":name="pinot.server.multiStageRawMessages",type="ServerMetrics",attribute=MeanRate",0,pinot.server,,
pinot.server.pinot_server_multiStageRawMessages_OneMinuteRate,,,,,"Attribute exposed for management "org.apache.pinot.common.metrics":name="pinot.server.multiStageRawMessages",type="ServerMetrics",attribute=OneMinuteRate",0,pinot.server,,
pinot.server.pinot_server_nettyConnection_BytesReceived_Count,,,,,"Attribute exposed for management "org.apache.pinot.common.metrics":name="pinot.server.nettyConnectionBytesReceived",type="ServerMetrics",attribute=Count",0,pinot.server,,
pinot.server.pinot_server_nettyConnection_BytesReceived_FifteenMinuteRate,,,,,"Attribute exposed for management "org.apache.pinot.common.metrics":name="pinot.server.nettyConnectionBytesReceived",type="ServerMetrics",attribute=FifteenMinuteRate",0,pinot.server,,
pinot.server.pinot_server_nettyConnection_BytesReceived_FiveMinuteRate,,,,,"Attribute exposed for management "org.apache.pinot.common.metrics":name="pinot.server.nettyConnectionBytesReceived",type="ServerMetrics",attribute=FiveMinuteRate",0,pinot.server,,
pinot.server.pinot_server_nettyConnection_BytesReceived_MeanRate,,,,,"Attribute exposed for management "org.apache.pinot.common.metrics":name="pinot.server.nettyConnectionBytesReceived",type="ServerMetrics",attribute=MeanRate",0,pinot.server,,
pinot.server.pinot_server_nettyConnection_BytesReceived_OneMinuteRate,,,,,"Attribute exposed for management "org.apache.pinot.common.metrics":name="pinot.server.nettyConnectionBytesReceived",type="ServerMetrics",attribute=OneMinuteRate",0,pinot.server,,
pinot.server.pinot_server_nettyConnection_BytesSent_Count,,,,,"Attribute exposed for management "org.apache.pinot.common.metrics":name="pinot.server.nettyConnectionBytesSent",type="ServerMetrics",attribute=Count",0,pinot.server,,
pinot.server.pinot_server_nettyConnection_BytesSent_FifteenMinuteRate,,,,,"Attribute exposed for management "org.apache.pinot.common.metrics":name="pinot.server.nettyConnectionBytesSent",type="ServerMetrics",attribute=FifteenMinuteRate",0,pinot.server,,
pinot.server.pinot_server_nettyConnection_BytesSent_FiveMinuteRate,,,,,"Attribute exposed for management "org.apache.pinot.common.metrics":name="pinot.server.nettyConnectionBytesSent",type="ServerMetrics",attribute=FiveMinuteRate",0,pinot.server,,
pinot.server.pinot_server_nettyConnection_BytesSent_MeanRate,,,,,"Attribute exposed for management "org.apache.pinot.common.metrics":name="pinot.server.nettyConnectionBytesSent",type="ServerMetrics",attribute=MeanRate",0,pinot.server,,
pinot.server.pinot_server_nettyConnection_BytesSent_OneMinuteRate,,,,,"Attribute exposed for management "org.apache.pinot.common.metrics":name="pinot.server.nettyConnectionBytesSent",type="ServerMetrics",attribute=OneMinuteRate",0,pinot.server,,
pinot.server.pinot_server_nettyConnection_ResponsesSent_Count,,,,,"Attribute exposed for management "org.apache.pinot.common.metrics":name="pinot.server.nettyConnectionResponsesSent",type="ServerMetrics",attribute=Count",0,pinot.server,,
pinot.server.pinot_server_nettyConnection_ResponsesSent_FifteenMinuteRate,,,,,"Attribute exposed for management "org.apache.pinot.common.metrics":name="pinot.server.nettyConnectionResponsesSent",type="ServerMetrics",attribute=FifteenMinuteRate",0,pinot.server,,
pinot.server.pinot_server_nettyConnection_ResponsesSent_FiveMinuteRate,,,,,"Attribute exposed for management "org.apache.pinot.common.metrics":name="pinot.server.nettyConnectionResponsesSent",type="ServerMetrics",attribute=FiveMinuteRate",0,pinot.server,,
pinot.server.pinot_server_nettyConnection_ResponsesSent_MeanRate,,,,,"Attribute exposed for management "org.apache.pinot.common.metrics":name="pinot.server.nettyConnectionResponsesSent",type="ServerMetrics",attribute=MeanRate",0,pinot.server,,
pinot.server.pinot_server_nettyConnection_ResponsesSent_OneMinuteRate,,,,,"Attribute exposed for management "org.apache.pinot.common.metrics":name="pinot.server.nettyConnectionResponsesSent",type="ServerMetrics",attribute=OneMinuteRate",0,pinot.server,,
pinot.server.pinot_server_nettyPooledArenasDirect_Value,,,,,"Attribute exposed for management "org.apache.pinot.common.metrics":name="pinot.server.nettyPooledArenasDirect",type="ServerMetrics",attribute=Value",0,pinot.server,,
pinot.server.pinot_server_nettyPooledArenasHeap_Value,,,,,"Attribute exposed for management "org.apache.pinot.common.metrics":name="pinot.server.nettyPooledArenasHeap",type="ServerMetrics",attribute=Value",0,pinot.server,,
pinot.server.pinot_server_nettyPooledCacheSizeNormal_Value,,,,,"Attribute exposed for management "org.apache.pinot.common.metrics":name="pinot.server.nettyPooledCacheSizeNormal",type="ServerMetrics",attribute=Value",0,pinot.server,,
pinot.server.pinot_server_nettyPooledCacheSizeSmall_Value,,,,,"Attribute exposed for management "org.apache.pinot.common.metrics":name="pinot.server.nettyPooledCacheSizeSmall",type="ServerMetrics",attribute=Value",0,pinot.server,,
pinot.server.pinot_server_nettyPooledChunkSize_Value,,,,,"Attribute exposed for management "org.apache.pinot.common.metrics":name="pinot.server.nettyPooledChunkSize",type="ServerMetrics",attribute=Value",0,pinot.server,,
pinot.server.pinot_server_nettyPooledThreadlocalcache_Value,,,,,"Attribute exposed for management "org.apache.pinot.common.metrics":name="pinot.server.nettyPooledThreadlocalcache",type="ServerMetrics",attribute=Value",0,pinot.server,,
pinot.server.pinot_server_nettyPooledUsedDirectMemory_Value,,,,,"Attribute exposed for management "org.apache.pinot.common.metrics":name="pinot.server.nettyPooledUsedDirectMemory",type="ServerMetrics",attribute=Value",0,pinot.server,,
pinot.server.pinot_server_nettyPooledUsedHeapMemory_Value,,,,,"Attribute exposed for management "org.apache.pinot.common.metrics":name="pinot.server.nettyPooledUsedHeapMemory",type="ServerMetrics",attribute=Value",0,pinot.server,,
pinot.server.pinot_server_noTableAccess_Count,,,,,"Attribute exposed for management "org.apache.pinot.common.metrics":name="pinot.server.noTableAccess",type="ServerMetrics",attribute=Count",0,pinot.server,,
pinot.server.pinot_server_noTableAccess_FifteenMinuteRate,,,,,"Attribute exposed for management "org.apache.pinot.common.metrics":name="pinot.server.noTableAccess",type="ServerMetrics",attribute=FifteenMinuteRate",0,pinot.server,,
pinot.server.pinot_server_noTableAccess_FiveMinuteRate,,,,,"Attribute exposed for management "org.apache.pinot.common.metrics":name="pinot.server.noTableAccess",type="ServerMetrics",attribute=FiveMinuteRate",0,pinot.server,,
pinot.server.pinot_server_noTableAccess_MeanRate,,,,,"Attribute exposed for management "org.apache.pinot.common.metrics":name="pinot.server.noTableAccess",type="ServerMetrics",attribute=MeanRate",0,pinot.server,,
pinot.server.pinot_server_noTableAccess_OneMinuteRate,,,,,"Attribute exposed for management "org.apache.pinot.common.metrics":name="pinot.server.noTableAccess",type="ServerMetrics",attribute=OneMinuteRate",0,pinot.server,,
pinot.server.pinot_server_queriesDisabled_Value,,,,,"Attribute exposed for management "org.apache.pinot.common.metrics":name="pinot.server.queriesDisabled",type="ServerMetrics",attribute=Value",0,pinot.server,,
pinot.server.pinot_server_queriesKilled_Count,,,,,"Attribute exposed for management "org.apache.pinot.common.metrics":name="pinot.server.queriesKilled",type="ServerMetrics",attribute=Count",0,pinot.server,,
pinot.server.pinot_server_queriesKilled_FifteenMinuteRate,,,,,"Attribute exposed for management "org.apache.pinot.common.metrics":name="pinot.server.queriesKilled",type="ServerMetrics",attribute=FifteenMinuteRate",0,pinot.server,,
pinot.server.pinot_server_queriesKilled_FiveMinuteRate,,,,,"Attribute exposed for management "org.apache.pinot.common.metrics":name="pinot.server.queriesKilled",type="ServerMetrics",attribute=FiveMinuteRate",0,pinot.server,,
pinot.server.pinot_server_queriesKilled_MeanRate,,,,,"Attribute exposed for management "org.apache.pinot.common.metrics":name="pinot.server.queriesKilled",type="ServerMetrics",attribute=MeanRate",0,pinot.server,,
pinot.server.pinot_server_queriesKilled_OneMinuteRate,,,,,"Attribute exposed for management "org.apache.pinot.common.metrics":name="pinot.server.queriesKilled",type="ServerMetrics",attribute=OneMinuteRate",0,pinot.server,,
pinot.server.pinot_server_queries_Count,,,,,"Attribute exposed for management "org.apache.pinot.common.metrics":name="pinot.server.queries",type="ServerMetrics",attribute=Count",0,pinot.server,,
pinot.server.pinot_server_queries_FifteenMinuteRate,,,,,"Attribute exposed for management "org.apache.pinot.common.metrics":name="pinot.server.queries",type="ServerMetrics",attribute=FifteenMinuteRate",0,pinot.server,,
pinot.server.pinot_server_queries_FiveMinuteRate,,,,,"Attribute exposed for management "org.apache.pinot.common.metrics":name="pinot.server.queries",type="ServerMetrics",attribute=FiveMinuteRate",0,pinot.server,,
pinot.server.pinot_server_queries_MeanRate,,,,,"Attribute exposed for management "org.apache.pinot.common.metrics":name="pinot.server.queries",type="ServerMetrics",attribute=MeanRate",0,pinot.server,,
pinot.server.pinot_server_queries_OneMinuteRate,,,,,"Attribute exposed for management "org.apache.pinot.common.metrics":name="pinot.server.queries",type="ServerMetrics",attribute=OneMinuteRate",0,pinot.server,,
pinot.server.pinot_server_readinessCheckBadCalls_Count,,,,,"Attribute exposed for management "org.apache.pinot.common.metrics":name="pinot.server.readinessCheckBadCalls",type="ServerMetrics",attribute=Count",0,pinot.server,,
pinot.server.pinot_server_readinessCheckBadCalls_FifteenMinuteRate,,,,,"Attribute exposed for management "org.apache.pinot.common.metrics":name="pinot.server.readinessCheckBadCalls",type="ServerMetrics",attribute=FifteenMinuteRate",0,pinot.server,,
pinot.server.pinot_server_readinessCheckBadCalls_FiveMinuteRate,,,,,"Attribute exposed for management "org.apache.pinot.common.metrics":name="pinot.server.readinessCheckBadCalls",type="ServerMetrics",attribute=FiveMinuteRate",0,pinot.server,,
pinot.server.pinot_server_readinessCheckBadCalls_MeanRate,,,,,"Attribute exposed for management "org.apache.pinot.common.metrics":name="pinot.server.readinessCheckBadCalls",type="ServerMetrics",attribute=MeanRate",0,pinot.server,,
pinot.server.pinot_server_readinessCheckBadCalls_OneMinuteRate,,,,,"Attribute exposed for management "org.apache.pinot.common.metrics":name="pinot.server.readinessCheckBadCalls",type="ServerMetrics",attribute=OneMinuteRate",0,pinot.server,,
pinot.server.pinot_server_readinessCheckOkCalls_Count,,,,,"Attribute exposed for management "org.apache.pinot.common.metrics":name="pinot.server.readinessCheckOkCalls",type="ServerMetrics",attribute=Count",0,pinot.server,,
pinot.server.pinot_server_readinessCheckOkCalls_FifteenMinuteRate,,,,,"Attribute exposed for management "org.apache.pinot.common.metrics":name="pinot.server.readinessCheckOkCalls",type="ServerMetrics",attribute=FifteenMinuteRate",0,pinot.server,,
pinot.server.pinot_server_readinessCheckOkCalls_FiveMinuteRate,,,,,"Attribute exposed for management "org.apache.pinot.common.metrics":name="pinot.server.readinessCheckOkCalls",type="ServerMetrics",attribute=FiveMinuteRate",0,pinot.server,,
pinot.server.pinot_server_readinessCheckOkCalls_MeanRate,,,,,"Attribute exposed for management "org.apache.pinot.common.metrics":name="pinot.server.readinessCheckOkCalls",type="ServerMetrics",attribute=MeanRate",0,pinot.server,,
pinot.server.pinot_server_readinessCheckOkCalls_OneMinuteRate,,,,,"Attribute exposed for management "org.apache.pinot.common.metrics":name="pinot.server.readinessCheckOkCalls",type="ServerMetrics",attribute=OneMinuteRate",0,pinot.server,,
pinot.server.pinot_server_realtimeRowsSanitized_Count,,,,,"Attribute exposed for management "org.apache.pinot.common.metrics":name="pinot.server.realtimeRowsSanitized",type="ServerMetrics",attribute=Count",0,pinot.server,,
pinot.server.pinot_server_realtimeRowsSanitized_FifteenMinuteRate,,,,,"Attribute exposed for management "org.apache.pinot.common.metrics":name="pinot.server.realtimeRowsSanitized",type="ServerMetrics",attribute=FifteenMinuteRate",0,pinot.server,,
pinot.server.pinot_server_realtimeRowsSanitized_FiveMinuteRate,,,,,"Attribute exposed for management "org.apache.pinot.common.metrics":name="pinot.server.realtimeRowsSanitized",type="ServerMetrics",attribute=FiveMinuteRate",0,pinot.server,,
pinot.server.pinot_server_realtimeRowsSanitized_MeanRate,,,,,"Attribute exposed for management "org.apache.pinot.common.metrics":name="pinot.server.realtimeRowsSanitized",type="ServerMetrics",attribute=MeanRate",0,pinot.server,,
pinot.server.pinot_server_realtimeRowsSanitized_OneMinuteRate,,,,,"Attribute exposed for management "org.apache.pinot.common.metrics":name="pinot.server.realtimeRowsSanitized",type="ServerMetrics",attribute=OneMinuteRate",0,pinot.server,,
pinot.server.pinot_server_realtime_consumptionExceptions_Count,,,,,"Attribute exposed for management "org.apache.pinot.common.metrics":name="pinot.server.realtimeConsumptionExceptions",type="ServerMetrics",attribute=Count",0,pinot.server,,
pinot.server.pinot_server_realtime_consumptionExceptions_FifteenMinuteRate,,,,,"Attribute exposed for management "org.apache.pinot.common.metrics":name="pinot.server.realtimeConsumptionExceptions",type="ServerMetrics",attribute=FifteenMinuteRate",0,pinot.server,,
pinot.server.pinot_server_realtime_consumptionExceptions_FiveMinuteRate,,,,,"Attribute exposed for management "org.apache.pinot.common.metrics":name="pinot.server.realtimeConsumptionExceptions",type="ServerMetrics",attribute=FiveMinuteRate",0,pinot.server,,
pinot.server.pinot_server_realtime_consumptionExceptions_MeanRate,,,,,"Attribute exposed for management "org.apache.pinot.common.metrics":name="pinot.server.realtimeConsumptionExceptions",type="ServerMetrics",attribute=MeanRate",0,pinot.server,,
pinot.server.pinot_server_realtime_consumptionExceptions_OneMinuteRate,,,,,"Attribute exposed for management "org.apache.pinot.common.metrics":name="pinot.server.realtimeConsumptionExceptions",type="ServerMetrics",attribute=OneMinuteRate",0,pinot.server,,
pinot.server.pinot_server_realtime_exceptions_requestDeserialization_Count,,,,,"Attribute exposed for management "org.apache.pinot.common.metrics":name="pinot.server.requestDeserializationExceptions",type="ServerMetrics",attribute=Count",0,pinot.server,,
pinot.server.pinot_server_realtime_exceptions_requestDeserialization_FifteenMinuteRate,,,,,"Attribute exposed for management "org.apache.pinot.common.metrics":name="pinot.server.requestDeserializationExceptions",type="ServerMetrics",attribute=FifteenMinuteRate",0,pinot.server,,
pinot.server.pinot_server_realtime_exceptions_requestDeserialization_FiveMinuteRate,,,,,"Attribute exposed for management "org.apache.pinot.common.metrics":name="pinot.server.requestDeserializationExceptions",type="ServerMetrics",attribute=FiveMinuteRate",0,pinot.server,,
pinot.server.pinot_server_realtime_exceptions_requestDeserialization_MeanRate,,,,,"Attribute exposed for management "org.apache.pinot.common.metrics":name="pinot.server.requestDeserializationExceptions",type="ServerMetrics",attribute=MeanRate",0,pinot.server,,
pinot.server.pinot_server_realtime_exceptions_requestDeserialization_OneMinuteRate,,,,,"Attribute exposed for management "org.apache.pinot.common.metrics":name="pinot.server.requestDeserializationExceptions",type="ServerMetrics",attribute=OneMinuteRate",0,pinot.server,,
pinot.server.pinot_server_realtime_exceptions_responseSerialization_Count,,,,,"Attribute exposed for management "org.apache.pinot.common.metrics":name="pinot.server.responseSerializationExceptions",type="ServerMetrics",attribute=Count",0,pinot.server,,
pinot.server.pinot_server_realtime_exceptions_responseSerialization_FifteenMinuteRate,,,,,"Attribute exposed for management "org.apache.pinot.common.metrics":name="pinot.server.responseSerializationExceptions",type="ServerMetrics",attribute=FifteenMinuteRate",0,pinot.server,,
pinot.server.pinot_server_realtime_exceptions_responseSerialization_FiveMinuteRate,,,,,"Attribute exposed for management "org.apache.pinot.common.metrics":name="pinot.server.responseSerializationExceptions",type="ServerMetrics",attribute=FiveMinuteRate",0,pinot.server,,
pinot.server.pinot_server_realtime_exceptions_responseSerialization_MeanRate,,,,,"Attribute exposed for management "org.apache.pinot.common.metrics":name="pinot.server.responseSerializationExceptions",type="ServerMetrics",attribute=MeanRate",0,pinot.server,,
pinot.server.pinot_server_realtime_exceptions_responseSerialization_OneMinuteRate,,,,,"Attribute exposed for management "org.apache.pinot.common.metrics":name="pinot.server.responseSerializationExceptions",type="ServerMetrics",attribute=OneMinuteRate",0,pinot.server,,
pinot.server.pinot_server_realtime_exceptions_schedulingTimeout_Count,,,,,"Attribute exposed for management "org.apache.pinot.common.metrics":name="pinot.server.schedulingTimeoutExceptions",type="ServerMetrics",attribute=Count",0,pinot.server,,
pinot.server.pinot_server_realtime_exceptions_schedulingTimeout_FifteenMinuteRate,,,,,"Attribute exposed for management "org.apache.pinot.common.metrics":name="pinot.server.schedulingTimeoutExceptions",type="ServerMetrics",attribute=FifteenMinuteRate",0,pinot.server,,
pinot.server.pinot_server_realtime_exceptions_schedulingTimeout_FiveMinuteRate,,,,,"Attribute exposed for management "org.apache.pinot.common.metrics":name="pinot.server.schedulingTimeoutExceptions",type="ServerMetrics",attribute=FiveMinuteRate",0,pinot.server,,
pinot.server.pinot_server_realtime_exceptions_schedulingTimeout_MeanRate,,,,,"Attribute exposed for management "org.apache.pinot.common.metrics":name="pinot.server.schedulingTimeoutExceptions",type="ServerMetrics",attribute=MeanRate",0,pinot.server,,
pinot.server.pinot_server_realtime_exceptions_schedulingTimeout_OneMinuteRate,,,,,"Attribute exposed for management "org.apache.pinot.common.metrics":name="pinot.server.schedulingTimeoutExceptions",type="ServerMetrics",attribute=OneMinuteRate",0,pinot.server,,
pinot.server.pinot_server_realtime_exceptions_uncaught_Count,,,,,"Attribute exposed for management "org.apache.pinot.common.metrics":name="pinot.server.uncaughtExceptions",type="ServerMetrics",attribute=Count",0,pinot.server,,
pinot.server.pinot_server_realtime_exceptions_uncaught_FifteenMinuteRate,,,,,"Attribute exposed for management "org.apache.pinot.common.metrics":name="pinot.server.uncaughtExceptions",type="ServerMetrics",attribute=FifteenMinuteRate",0,pinot.server,,
pinot.server.pinot_server_realtime_exceptions_uncaught_FiveMinuteRate,,,,,"Attribute exposed for management "org.apache.pinot.common.metrics":name="pinot.server.uncaughtExceptions",type="ServerMetrics",attribute=FiveMinuteRate",0,pinot.server,,
pinot.server.pinot_server_realtime_exceptions_uncaught_MeanRate,,,,,"Attribute exposed for management "org.apache.pinot.common.metrics":name="pinot.server.uncaughtExceptions",type="ServerMetrics",attribute=MeanRate",0,pinot.server,,
pinot.server.pinot_server_realtime_exceptions_uncaught_OneMinuteRate,,,,,"Attribute exposed for management "org.apache.pinot.common.metrics":name="pinot.server.uncaughtExceptions",type="ServerMetrics",attribute=OneMinuteRate",0,pinot.server,,
pinot.server.pinot_server_realtime_offsetCommits_Count,,,,,"Attribute exposed for management "org.apache.pinot.common.metrics":name="pinot.server.realtimeOffsetCommits",type="ServerMetrics",attribute=Count",0,pinot.server,,
pinot.server.pinot_server_realtime_offsetCommits_FifteenMinuteRate,,,,,"Attribute exposed for management "org.apache.pinot.common.metrics":name="pinot.server.realtimeOffsetCommits",type="ServerMetrics",attribute=FifteenMinuteRate",0,pinot.server,,
pinot.server.pinot_server_realtime_offsetCommits_FiveMinuteRate,,,,,"Attribute exposed for management "org.apache.pinot.common.metrics":name="pinot.server.realtimeOffsetCommits",type="ServerMetrics",attribute=FiveMinuteRate",0,pinot.server,,
pinot.server.pinot_server_realtime_offsetCommits_MeanRate,,,,,"Attribute exposed for management "org.apache.pinot.common.metrics":name="pinot.server.realtimeOffsetCommits",type="ServerMetrics",attribute=MeanRate",0,pinot.server,,
pinot.server.pinot_server_realtime_offsetCommits_OneMinuteRate,,,,,"Attribute exposed for management "org.apache.pinot.common.metrics":name="pinot.server.realtimeOffsetCommits",type="ServerMetrics",attribute=OneMinuteRate",0,pinot.server,,
pinot.server.pinot_server_realtime_rowsConsumed_Count,,,,,"Attribute exposed for management "org.apache.pinot.common.metrics":name="pinot.server.realtimeRowsConsumed",type="ServerMetrics",attribute=Count",0,pinot.server,,
pinot.server.pinot_server_realtime_rowsConsumed_FifteenMinuteRate,,,,,"Attribute exposed for management "org.apache.pinot.common.metrics":name="pinot.server.realtimeRowsConsumed",type="ServerMetrics",attribute=FifteenMinuteRate",0,pinot.server,,
pinot.server.pinot_server_realtime_rowsConsumed_FiveMinuteRate,,,,,"Attribute exposed for management "org.apache.pinot.common.metrics":name="pinot.server.realtimeRowsConsumed",type="ServerMetrics",attribute=FiveMinuteRate",0,pinot.server,,
pinot.server.pinot_server_realtime_rowsConsumed_MeanRate,,,,,"Attribute exposed for management "org.apache.pinot.common.metrics":name="pinot.server.realtimeRowsConsumed",type="ServerMetrics",attribute=MeanRate",0,pinot.server,,
pinot.server.pinot_server_realtime_rowsConsumed_OneMinuteRate,,,,,"Attribute exposed for management "org.apache.pinot.common.metrics":name="pinot.server.realtimeRowsConsumed",type="ServerMetrics",attribute=OneMinuteRate",0,pinot.server,,
